"Cage_Number","DOB","Mouse_ID","Exposure_status","Sex","Sacrifice_Date","lung_weight","liver_weight","brain_weight","mouse_weight_0","mouse_weight_1","mouse_weight_2","mouse_weight_3","mouse_weight_4","mouse_weight_5","mouse_weight_6","Nicotine","Cotinine","three_OH_Cotinine","Cotinine_N_Oxide","serum_GM_CSF","serum_IFN_gamma","serum_IL_1_alpha","serum_IL_1_beta","serum_IL_2","serum_IL_4","serum_IL_5","serum_IL_6","serum_IL_7","serum_IL_10","serum_IL_12p70","serum_IL_13","serum_IL_17A","serum_KC","serum_LIX","serum_MCP_1","serum_MIP_2","serum_TNF_alpha","BALF_GM_CSF","BALF_IFN_gamma","BALF_IL_1_alpha","BALF_IL_1_beta","BALF_IL_2","BALF_IL_4","BALF_IL_5","BALF_IL_6","BALF_IL_7","BALF_IL_10","BALF_IL_12p70","BALF_IL_13","BALF_IL_17A","BALF_KC","BALF_LIX","BALF_MCP_1","BALF_MIP_2","BALF_TNF_alpha","BAL_volume_collected","Quantity_for_50000_cells_cytospin","BAL_Total_Cells_ml","Total_Cell_Count_1","Macrophage_Count_1","Neutrophil_Count_1","Eosinophil_Count_1","Lymphocyte_Count_1","Dividing_Macrophage_1","Dividing_Neutrophil_Count_1","Total_Cell_Count_2","Macrophage_Count_2","Neutrophil_Count_2","Eosinophil_Count_2","Lymphocyte_Count_2","Total_Cell_Count_3","Macrophage_Count_3","Neutrophil_Count_3","Eosinophil_Count_3","Lymphocyte_Count_3","Dividing_Macrophage_3","Dividing_Neutrophil_Count_3","mouse.age","label","Sex2"
30538,2022-12-28,2464,"Exposed","F",2023-03-13,0.3224,0.9677,0.4703,17,19,17,17,17,17,18,NA,NA,NA,NA,12.59,1.48,395.31,12.3,NA,0.4,23.31,3.73,3.86,5.1,24.1,23.26,2.15,192.39,2474.77,87.34,69.16,23.85,NA,0.36,32.99,0.1,3.4,0.08,1.02,0.85,0.78,1.31,4.16,8.46,0.05,4.16,NA,6.79,87.54,1.35,"1.5ml",4760,10500,100,97,1,0,0,2,0,100,94,1,0,5,100,92,1,1,0,6,"0",75,1,"FEMALE"
30538,2022-12-28,2466,"Exposed","F",2023-03-13,0.3336,0.9577,0.4685,16,18,17,17,19,19,19,NA,NA,NA,NA,5.18,1.39,286.55,13.51,NA,0.2,18.2,5.83,8.13,10.2,16.74,58.8,2.17,56.34,2731.5,46.5,69.16,15.29,NA,0.05,42.79,0.56,4.72,0.06,0.95,2.25,1.19,1.63,2.79,8.79,NA,3.41,NA,13.37,63.91,1.67,"1.5ml",213,235000,100,94,0,0,0,6,0,100,94,1,0,5,100,85,0,0,7,8,"0",75,1,"FEMALE"
30539,2022-12-28,2470,"Control","F",2023-03-13,0.3192,0.7676,0.4316,23,23,24,24,25,25,24,NA,NA,NA,NA,6.22,2.21,387.92,10.03,15.8,0.51,12.75,3.03,14.85,12.09,21.44,118.73,1.99,70.04,3742.03,46.5,70.18,9.98,NA,0.39,75.47,1.1,7.3,0.06,1.38,2.12,0.66,1.44,4.26,7.22,NA,3.65,16.71,11.3,110.62,1.81,"1.5ml",86.95652174,575000,100,97,0,0,0,43,0,100,94,0,0,6,100,86,0,0,6,8,"0",75,0,"FEMALE"
30539,2022-12-28,2471,"Control","F",2023-03-13,0.3955,0.8463,0.4636,23,23,23,24,24,24,23,NA,NA,NA,NA,12.59,2.58,332.42,10.92,11.18,0.38,18.1,4.85,19.99,11.82,26.41,55.49,2.57,110.01,3443.35,52.37,78.78,22.07,NA,0.18,66.27,0.91,5.89,0.12,1.04,1.12,1.9,2.07,4.54,7.8,0.04,3.44,9.29,12.02,104.72,1.97,"1.5ml",324.6753247,154000,100,100,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"NA",75,0,"FEMALE"
30541,2022-12-28,2473,"Control","M",2023-03-13,0.5624,1.1129,0.4652,25,26,27,27,28,28,27,NA,NA,NA,NA,10.27,2.33,271.23,10.92,2.38,0.39,14.53,5.53,7.81,10.2,15.38,75.04,1.99,115.11,4615.02,39.29,71.19,7.19,NA,0.21,46.74,1,4.96,0.12,1.28,1.12,1.27,1.5,5.01,8.02,0.11,6.28,11.26,9.71,107.39,1.23,"1.5ml",273.2240437,283000,100,96,0,0,0,4,0,100,96,1,0,3,100,75,1,0,1,23,"0",75,0,"MALE"
30541,2022-12-28,2475,"Control","M",2023-03-13,0.3434,1.1589,0.4875,25,25,26,26,28,28,25,NA,NA,NA,NA,14.15,2.74,377,13.39,16.84,0.44,9.21,4.98,5.35,13.59,17.75,45.76,3.44,227.77,6960.48,77.74,95.09,17.71,NA,0.21,51.42,0.76,6.28,0.13,0.62,3.02,1.27,2.19,5.28,7.52,0.11,4.66,14.72,15.2,80.55,1.67,"1.5ml",170.6484642,293000,100,94,1,0,0,5,0,100,88,2,1,9,100,79,6,0,12,3,"0",75,0,"MALE"
30540,2022-12-28,2478,"Exposed","M",2023-03-13,0.3714,1.1214,0.4875,19,18,18,19,19,19,21,NA,NA,NA,NA,13,2.61,226.92,8.84,3.75,0.5,71.87,123.13,4.71,25.2,28.71,43.85,2.6,361.51,4268.6,176.73,79.68,33.69,NA,0.24,53.97,0.91,6.39,0.09,1.02,1.9,0.7,1.44,3.97,8.33,0.06,5.41,NA,9.71,95.45,1.28,"1.5ml",168,298000,100,93,1,0,0,6,0,100,99,0,0,1,100,73,2,2,23,0,"0",75,1,"MALE"
30540,2022-12-28,2480,"Exposed","M",2023-03-13,0.412,1.1023,0.428,19,20,20,20,20,21,20,NA,NA,NA,NA,35.03,15.91,232.79,9.9,71.7,0.89,30.33,236.36,6.09,13.59,26.08,138.21,1.91,549.83,5019.49,394.25,76.96,11.86,NA,0.24,76.44,0.17,6.23,0.02,0.62,2.48,0.42,1.31,2.48,8.06,0.18,3.93,2.42,3.96,85.85,1.61,"1.5ml",735,68000,100,92,0,0,0,8,0,100,98,0,0,2,100,67,1,0,22,8,"2",75,1,"MALE"
30336,2023-01-17,2483,"Control","M",2023-03-06,0.3302,1.2608,0.4234,19,20,21,20,22,NA,NA,NA,NA,NA,NA,21.16,6.26,259.77,26.28,22.41,30.71,72.85,302.81,13.11,86.68,692.76,130.51,11.75,322.39,2636.37,312.79,88.13,45.44,NA,0.41,77.64,0.81,10.1,0.08,0.9,5.54,2.2,2.38,5.28,6.99,0.05,6.05,6.35,22.01,100.56,2.14,"1.5ml",26.17801047,1910000,100,90,0,0,0,10,0,100,96,1,0,3,100,83,0,0,10,7,"0",48,0,"MALE"
30336,2023-01-17,2484,"Control","M",2023-03-06,0.2299,1.3346,0.4657,21,22,23,24,25,NA,NA,NA,NA,NA,NA,21.39,3.07,304.52,13.98,16.84,0.5,13.07,63.28,10.83,16.03,465.37,104.63,2.76,716.23,2227.52,251.35,93.59,75.47,NA,0.22,58.65,0.61,7.66,0.07,0.93,1.01,0.54,2.25,6.73,7.22,0.05,2.59,4.39,16.85,73.81,1.23,"1.5ml",199.2031873,251000,100,85,0,0,1,14,0,100,90,0,1,9,100,72,2,1,14,11,"0",48,0,"MALE"
30337,2023-01-17,2485,"Exposed","M",2023-03-06,0.3875,1.3101,0.4065,21,23,25,26,25,NA,NA,NA,6.315939617259,NA,NA,11.73,2.33,283.2,12.42,3.75,0.52,19.61,92.26,9.85,12.09,19.09,56.81,2.37,617.28,3663.36,253.07,84.02,23.52,NA,0.64,83.52,0.51,10.9,0.07,0.97,1.03,0.54,2.56,3.19,8.56,0,4.82,10.77,15.77,98.41,2.01,"1.5ml",187.2659176,267000,100,98,0,0,0,2,0,100,99,0,0,1,100,83,0,0,9,8,"0",48,1,"MALE"
30337,2023-01-17,2486,"Exposed","M",2023-03-06,0.2817,1.2213,0.422,21,21,23,24,24,NA,NA,NA,NA,2.48817900365888,47.7779341401632,10.78,2.24,367.26,13.51,11.18,0.53,8.69,14.98,5.35,9.66,14.71,54.83,1.86,157.66,2060.14,81.49,55.37,26.14,NA,0.57,73.52,0.91,10.14,0.11,1.28,4.15,1.39,1.44,6.91,7.48,0.14,3.62,16.21,15.77,70.69,2.19,"1.5ml",735.2941176,68000,100,98,0,0,0,2,0,100,97,0,0,3,100,73,0,0,18,9,"0",48,1,"MALE"
30337,2023-01-17,2487,"Exposed","M",2023-03-06,0.4276,1.1667,0.369,21,21,23,23,23,NA,NA,NA,NA,NA,NA,18.51,1.45,211.76,11.8,4.88,0.38,17.13,167.58,6.63,10.88,18.08,66.86,4.23,394.02,3895.3,408.95,73.16,16.03,NA,0.27,49.98,0.71,6.28,0.06,0.88,0.87,1.35,2.07,5.01,9.5,0.09,3.37,7.33,13.37,88.36,1.64,"1.5ml",200,225000,100,99,1,0,0,0,0,100,96,0,0,4,100,93,0,0,2,5,"0",48,1,"MALE"
